step,loss,avg_reward,grad_norm,grad_to_param_ratio
128,0.14150739,244.64359,0.9475091,0.042995516
129,0.14127995,245.3081,0.93733394,0.042543102
130,0.14135772,245.19373,0.91332585,0.041462377
131,0.14073458,245.3799,0.8950182,0.040639862
132,0.14139587,245.65274,0.87894815,0.03991847
133,0.14023,245.26385,0.8498934,0.038606763
134,0.1396305,245.06425,0.8245663,0.03746371
135,0.13864821,244.88446,0.80012643,0.03636039
136,0.13822861,244.74332,0.77644867,0.035291176
137,0.13820434,244.39502,0.7487919,0.034040555
138,0.1377894,244.55347,0.73107135,0.03324113
139,0.13807607,245.15479,0.7219514,0.03283241
140,0.13755332,244.69785,0.69325435,0.031532936
141,0.1372083,245.20761,0.6834426,0.031092033
142,0.13800846,245.08922,0.6620093,0.030122064
143,0.13614239,244.62143,0.63369197,0.02883835
144,0.13612887,245.2233,0.6259109,0.028488856
145,0.13697149,244.37332,0.5905515,0.02688372
146,0.13630044,245.12305,0.5868745,0.026720474
147,0.1364625,245.01532,0.5663533,0.025790064
148,0.13527822,245.08096,0.54970944,0.025035845
149,0.13528113,244.96419,0.52962756,0.024124729
150,0.13571006,245.2928,0.5192283,0.023654372
151,0.1356971,245.1529,0.49948788,0.022758186
152,0.13584909,245.73093,0.49375045,0.022499766
153,0.13537654,244.9913,0.4633075,0.021115256
154,0.13498214,244.57822,0.43892014,0.020006329
155,0.13577518,245.5461,0.44220588,0.020158565
156,0.13515396,245.03337,0.41666383,0.018996468
157,0.13518322,245.09668,0.40294886,0.018373316
158,0.13394043,244.45645,0.37767625,0.01722292
159,0.13319057,244.03578,0.3571872,0.01629041
160,0.13413414,245.02255,0.35859728,0.016356558
161,0.13372533,244.86926,0.34161365,0.015583595
162,0.13383757,244.87874,0.32900882,0.015010191
163,0.13328685,244.99326,0.31785667,0.014502899
164,0.1336998,244.84671,0.3028176,0.013818078
165,0.13459116,244.96214,0.29734984,0.01356986
166,0.13359356,244.95407,0.2811851,0.01283331
167,0.1335341,244.72398,0.26624936,0.012152677
168,0.13378479,244.88866,0.2565116,0.011709155
169,0.13390009,244.93945,0.24637753,0.011247425
170,0.13400224,244.66968,0.23033153,0.010515689
171,0.13326849,245.1358,0.23001051,0.010501791
172,0.13366218,245.12018,0.22093333,0.010088068
173,0.13388589,245.3316,0.21371406,0.009759119
174,0.13338798,245.18317,0.20356712,0.009296399
175,0.13413064,245.05444,0.18979223,0.008667921
176,0.13350001,244.51834,0.17065623,0.007794484
177,0.13363789,244.97853,0.17047498,0.0077867014
178,0.13366342,244.79936,0.15922453,0.007273268
179,0.13412064,245.15073,0.16094044,0.0073520783
180,0.13362283,244.99503,0.14725684,0.0067273485
181,0.13369678,244.74316,0.13490155,0.0061632227
182,0.13343054,245.00743,0.13303918,0.0060784346
183,0.1330181,244.74243,0.12111725,0.005533993
184,0.13332783,244.7124,0.114059895,0.005211772
185,0.13281551,244.35406,0.102882266,0.0047012363
186,0.13285059,244.51515,0.100832336,0.004607761
187,0.1331957,244.23187,0.08677652,0.0039656153
188,0.13306685,245.04709,0.099699974,0.0045563863
189,0.13341415,244.77068,0.08676698,0.0039654896
190,0.13339698,245.5365,0.098026395,0.0044802404
191,0.1331488,245.13878,0.084163874,0.0038467946
192,0.13377312,244.7166,0.07854384,0.0035900436
193,0.13344347,244.95299,0.07223543,0.0033017993
194,0.13341829,245.27026,0.07331157,0.0033510814
195,0.13324001,244.79472,0.060765784,0.0027776875
196,0.13343951,245.09119,0.06237568,0.002851349
197,0.13314584,244.59383,0.050224967,0.002295964
198,0.13348746,245.05292,0.061482538,0.0028106528
199,0.1329231,245.17743,0.059176866,0.0027053128
200,0.13325241,245.31009,0.057729624,0.0026392136
201,0.13310324,245.18413,0.0484052,0.002212983
202,0.132625,245.20692,0.0460389,0.0021048496
203,0.13368416,245.3165,0.04520314,0.002066685
204,0.13343653,245.18512,0.051346216,0.0023475941
205,0.13411148,244.82501,0.054019526,0.002469864
206,0.13309431,244.78143,0.027772468,0.0012698222
207,0.13338047,245.15916,0.035020094,0.0016012215
208,0.13393696,245.32251,0.038888052,0.0017780968
209,0.13249359,244.98782,0.041716356,0.0019074361
210,0.1331678,245.21317,0.033285122,0.0015219449
211,0.13325676,245.02765,0.027892683,0.0012753936
212,0.1326606,245.20377,0.039922614,0.0018254848
213,0.13374627,244.66354,0.01743038,0.0007970249
214,0.13358167,245.16563,0.021810481,0.0009973216
215,0.13288882,245.20892,0.023596805,0.0010790157
216,0.13308696,244.76114,0.016373143,0.0007487059
217,0.13318753,245.08524,0.016622901,0.0007601344
218,0.1329,245.27118,0.018244034,0.0008342731
219,0.13386072,245.44666,0.03948283,0.0018055076
220,0.1334307,245.64642,0.023511898,0.0010751802
221,0.13255206,244.87573,0.025577892,0.0011696629
222,0.13399826,245.23177,0.023202,0.0010610216
223,0.13336986,245.39703,0.016846612,0.0007703955
224,0.13358289,244.70789,0.021670323,0.0009909893
225,0.13299885,245.27867,0.016174858,0.00073968334
226,0.13338588,245.07008,0.007058167,0.00032277437
227,0.13345073,244.81357,0.009439382,0.00043167037
228,0.1327516,246.14664,0.053779345,0.0024593798
229,0.13298559,245.9328,0.028294157,0.0012939262
230,0.13365793,245.46829,0.015975334,0.0007305764
231,0.13355938,244.87137,0.021008562,0.0009607594
232,0.13362889,245.18219,0.008034958,0.0003674549
233,0.13291526,245.50352,0.012504744,0.00057186984
234,0.13301155,244.80359,0.009766315,0.00044663728
235,0.1326095,244.54285,0.012682802,0.0005800171
236,0.1329623,244.77179,0.011520583,0.00052686693
237,0.13318388,245.43317,0.011564914,0.0005288956
238,0.13300234,244.91132,0.015277724,0.00069869467
239,0.1338388,245.85164,0.019805882,0.00090578344
240,0.13351364,245.07626,0.022617664,0.0010343778
241,0.13380246,245.22256,0.031278405,0.0014304636
242,0.13278939,244.46326,0.016650883,0.0007614994
243,0.13255593,245.27742,0.024945902,0.0011408566
244,0.13366929,244.342,0.017516367,0.0008010807
245,0.13386561,245.67664,0.019397328,0.0008871035
246,0.13377441,244.69498,0.017889913,0.0008181649
247,0.13248555,244.95807,0.013364773,0.00061121484
248,0.13324498,244.59554,0.020722207,0.00094769336
249,0.13286841,245.01413,0.029350152,0.0013422767
