step,loss,avg_reward,grad_norm,grad_to_param_ratio
126,0.19930899,245.85133,0.46601763,0.020460553
127,0.19802517,245.67609,0.3753933,0.016481705
128,0.19850856,244.93936,0.35825917,0.015729466
129,0.19771479,245.59875,0.30657646,0.013460359
130,0.19729665,245.50044,0.3559206,0.015626863
131,0.19782679,245.68066,0.31942287,0.0140244365
132,0.19826958,245.94933,0.48477668,0.021284435
133,0.19770014,245.53445,0.22305022,0.009793193
134,0.19823521,245.37767,0.46918747,0.020600097
135,0.19632623,245.1727,0.16967385,0.007449701
136,0.19801037,245.03348,0.48673162,0.021370493
137,0.19796696,244.72696,0.2925608,0.012845243
138,0.19731826,244.8324,0.4017125,0.017637733
139,0.19785836,245.45381,0.3892613,0.017091092
140,0.1983605,245.00003,0.3956326,0.017370863
141,0.19707505,245.51134,0.30863467,0.013551112
142,0.1983192,245.37198,0.4090261,0.017959002
143,0.19850218,244.91849,0.38992155,0.0171202
144,0.19786477,245.52377,0.5172822,0.022712193
145,0.19792241,244.68755,0.23037796,0.010115157
146,0.19838706,245.40942,0.53730345,0.023591293
147,0.19863275,245.28922,0.2811014,0.012342275
148,0.19786842,245.41022,0.3999206,0.017559268
149,0.19821678,245.2742,0.24747202,0.010865748
150,0.19816855,245.6059,0.34745592,0.015255764
151,0.19731274,245.43484,0.24037021,0.010553963
152,0.19925682,246.014,0.31815562,0.013969318
153,0.19804457,245.30333,0.3630681,0.015941339
154,0.19765127,244.87952,0.26777655,0.011757362
155,0.1986635,245.84457,0.25043526,0.010995968
156,0.19756103,245.31174,0.30030963,0.013185834
157,0.198189,245.40256,0.30679053,0.013470407
158,0.19746168,244.76328,0.14907044,0.0065453122
159,0.19728813,244.33582,0.4102463,0.018012896
160,0.19662583,245.2781,0.22402154,0.009836232
161,0.1971016,245.17578,0.32226813,0.014150002
162,0.1971341,245.19444,0.19860259,0.008720156
163,0.196985,245.28503,0.22549114,0.009900779
164,0.19717297,245.16644,0.25543,0.011215346
165,0.19725373,245.25656,0.2028669,0.008907433
166,0.19786657,245.2677,0.30187583,0.013254713
167,0.19730476,245.02586,0.28759474,0.012627685
168,0.19730091,245.15921,0.28719574,0.012610194
169,0.19811808,245.23285,0.3012191,0.013225961
170,0.1986759,244.96786,0.28575835,0.012547122
171,0.19692898,245.4191,0.2651437,0.011641987
172,0.19807601,245.43362,0.36280468,0.015930131
173,0.19702175,245.62407,0.32574245,0.014302804
174,0.19791383,245.49562,0.35750648,0.015697528
175,0.19909555,245.32684,0.42609936,0.018709347
176,0.1979442,244.81578,0.40456668,0.017763894
177,0.19828522,245.25578,0.38940507,0.017098187
178,0.19759153,245.11398,0.2873182,0.012615726
179,0.19746448,245.44016,0.33990932,0.014924946
180,0.19760856,245.28247,0.30639273,0.013453314
181,0.19902156,245.03493,0.48751867,0.021406366
182,0.19824678,245.30557,0.31027472,0.0136238225
183,0.19768329,245.05447,0.46010414,0.020202707
184,0.19760376,245.03207,0.4080327,0.017916342
185,0.19651666,244.65485,0.2688592,0.011805388
186,0.19833265,244.80807,0.44857514,0.019696608
187,0.19807199,244.54276,0.32557657,0.014295844
188,0.19868247,245.36203,0.42682758,0.018741738
189,0.19739936,245.08206,0.20774497,0.009121962
190,0.1994586,245.84311,0.51512736,0.022618953
191,0.19833113,245.45555,0.4198816,0.01843679
192,0.19769245,245.02042,0.35595635,0.015629878
193,0.19845542,245.23506,0.60781586,0.026688933
194,0.19791998,245.5708,0.2658594,0.011673785
195,0.19794208,245.0729,0.6443318,0.028292395
